date,decision
11/10/2018,NB
11/11/2018,NB
11/12/2018,NB
11/13/2018,NB
11/14/2018,NB
11/15/2018,NB
11/16/2018,NB
11/17/2018,NB
11/18/2018,NB
11/19/2018,NB
9/1/2018,NB
9/2/2018,NB
9/3/2018,NB
9/4/2018,NB
9/5/2018,NB
9/6/2018,NB
9/7/2018,NB
9/8/2018,NB
9/9/2018,NB
9/10/2018,NB
9/11/2018,NB
9/12/2018,NB
9/26/2018,NB
9/27/2018,NB
8/1/2018,NB
8/2/2018,NB
8/3/2018,NB
8/4/2018,NB
8/5/2018,NB
8/6/2018,NB
8/7/2018,NB
8/8/2018,NB
8/9/2018,NB
8/10/2018,NB
8/11/2018,NB
8/12/2018,NB
8/13/2018,NB
8/14/2018,NB
8/15/2018,NB
8/16/2018,NB
8/17/2018,NB
8/18/2018,NB
8/19/2018,NB
8/20/2018,NB
8/21/2018,NB
8/22/2018,NB
8/23/2018,NB
8/24/2018,NB
8/25/2018,NB
8/26/2018,NB
8/27/2018,NB
8/28/2018,NB
8/29/2018,NB
8/30/2018,NB
8/31/2018,NB
7/1/2018,NB
7/6/2018,NB
7/7/2018,NB
7/8/2018,NB
7/9/2018,NB
7/10/2018,NB
7/11/2018,NB
7/12/2018,NB
7/13/2018,NB
7/14/2018,NB
7/15/2018,NB
7/16/2018,NB
7/17/2018,NB
7/18/2018,NB
7/19/2018,NB
7/20/2018,NB
7/21/2018,NB
7/22/2018,NB
7/23/2018,NB
7/24/2018,NB
7/25/2018,NB
7/26/2018,NB
7/27/2018,NB
7/28/2018,NB
7/29/2018,NB
7/30/2018,NB
7/31/2018,NB
6/22/2018,NB
6/23/2018,NB
6/24/2018,NB
6/25/2018,NB
6/26/2018,NB
6/27/2018,NB
6/29/2018,NB
6/30/2018,NB
2/1/2018,NB
2/2/2018,NB
2/3/2018,NB
2/4/2018,NB
2/7/2018,NB
2/8/2018,NB
1/1/2018,NB
1/2/2018,NB
1/13/2018,NB
1/28/2018,NB
1/29/2018,NB
10/9/2019,NB
10/10/2019,NB
10/23/2019,NB
10/27/2019,NB
8/26/2019,NB
8/27/2019,NB
4/23/2019,NB
1/23/2019,NB
1/26/2019,NB
1/27/2019,NB
1/28/2019,NB
11/1/2020,NB
10/1/2020,NB
10/2/2020,NB
10/3/2020,NB
10/4/2020,NB
10/5/2020,NB
10/6/2020,NB
10/11/2020,NB
10/12/2020,NB
10/13/2020,NB
10/14/2020,NB
10/15/2020,NB
10/16/2020,NB
10/17/2020,NB
10/25/2020,NB
10/26/2020,NB
10/27/2020,NB
10/31/2020,NB
9/1/2020,NB
9/2/2020,NB
9/3/2020,NB
9/4/2020,NB
9/5/2020,NB
9/6/2020,NB
9/7/2020,NB
9/8/2020,NB
9/9/2020,NB
9/10/2020,NB
9/11/2020,NB
9/12/2020,NB
9/13/2020,NB
9/14/2020,NB
9/15/2020,NB
9/16/2020,NB
9/17/2020,NB
9/26/2020,NB
9/27/2020,NB
9/28/2020,NB
9/29/2020,NB
9/30/2020,NB
8/16/2020,NB
8/17/2020,NB
8/18/2020,NB
8/19/2020,NB
8/20/2020,NB
8/21/2020,NB
8/22/2020,NB
8/23/2020,NB
8/24/2020,NB
8/25/2020,NB
8/26/2020,NB
8/27/2020,NB
8/28/2020,NB
8/29/2020,NB
8/30/2020,NB
8/31/2020,NB
10/1/2021,NB
10/2/2021,NB
10/3/2021,NB
10/4/2021,NB
9/1/2021,NB
9/2/2021,NB
9/3/2021,NB
9/4/2021,NB
9/5/2021,NB
9/6/2021,NB
9/7/2021,NB
9/8/2021,NB
9/9/2021,NB
9/10/2021,NB
9/11/2021,NB
9/12/2021,NB
9/13/2021,NB
9/14/2021,NB
9/15/2021,NB
9/16/2021,NB
9/17/2021,NB
9/18/2021,NB
9/19/2021,NB
9/20/2021,NB
9/21/2021,NB
9/22/2021,NB
9/23/2021,NB
9/24/2021,NB
9/25/2021,NB
9/26/2021,NB
9/27/2021,NB
9/28/2021,NB
9/29/2021,NB
9/30/2021,NB
8/1/2021,NB
8/2/2021,NB
8/3/2021,NB
8/4/2021,NB
8/7/2021,NB
8/8/2021,NB
8/9/2021,NB
8/10/2021,NB
8/11/2021,NB
8/12/2021,NB
8/13/2021,NB
8/14/2021,NB
8/15/2021,NB
8/16/2021,NB
8/17/2021,NB
8/18/2021,NB
8/19/2021,NB
8/20/2021,NB
8/21/2021,NB
8/22/2021,NB
8/23/2021,NB
8/24/2021,NB
8/25/2021,NB
8/26/2021,NB
8/27/2021,NB
8/28/2021,NB
8/29/2021,NB
8/30/2021,NB
8/31/2021,NB
7/1/2021,NB
7/2/2021,NB
7/3/2021,NB
7/4/2021,NB
7/5/2021,NB
7/6/2021,NB
7/7/2021,NB
7/8/2021,NB
7/9/2021,NB
7/10/2021,NB
7/11/2021,NB
7/12/2021,NB
7/13/2021,NB
7/14/2021,NB
7/15/2021,NB
7/16/2021,NB
7/17/2021,NB
7/18/2021,NB
7/19/2021,NB
7/20/2021,NB
7/21/2021,NB
7/22/2021,NB
7/23/2021,NB
7/24/2021,NB
7/25/2021,NB
7/26/2021,NB
7/27/2021,NB
7/28/2021,NB
7/29/2021,NB
7/30/2021,NB
7/31/2021,NB
6/17/2021,NB
6/18/2021,NB
6/19/2021,NB
6/20/2021,NB
6/27/2021,NB
6/28/2021,NB
6/29/2021,NB
6/30/2021,NB
12/24/2022,NB
12/25/2022,NB
9/3/2022,NB
9/4/2022,NB
9/5/2022,NB
9/6/2022,NB
9/7/2022,NB
9/8/2022,NB
9/9/2022,NB
9/10/2022,NB
9/11/2022,NB
9/12/2022,NB
9/13/2022,NB
9/14/2022,NB
9/15/2022,NB
9/16/2022,NB
9/17/2022,NB
7/25/2022,NB
7/26/2022,NB
