UGC,Name,ID,Status,Issue,Expire,date,length
CAZ507,North Bay Mountains,1,EXP,,,2018-06-23,
CAZ507,North Bay Mountains,1,EXP,,,2018-06-24,
CAZ507,North Bay Mountains,1,EXP,2018-06-23T18:00:00Z,2018-06-25T03:00:00Z,2018-06-25,3
CAZ507,North Bay Mountains,2,EXP,,,2018-06-30,
CAZ507,North Bay Mountains,2,EXP,2018-06-30T06:00:00Z,2018-07-01T22:00:00Z,2018-07-01,2
CAZ507,North Bay Mountains,3,EXP,,,2018-09-20,
CAZ507,North Bay Mountains,3,EXP,2018-09-20T06:00:00Z,2018-09-21T00:00:00Z,2018-09-21,2
CAZ507,North Bay Mountains,4,EXP,,,2018-09-24,
CAZ507,North Bay Mountains,4,EXP,,,2018-09-25,
CAZ507,North Bay Mountains,4,EXP,2018-09-24T10:21:00Z,2018-09-26T00:00:00Z,2018-09-26,3
CAZ507,North Bay Mountains,5,EXP,,,2018-10-07,
CAZ507,North Bay Mountains,5,EXP,,,2018-10-08,
CAZ507,North Bay Mountains,5,EXP,2018-10-07T03:00:00Z,2018-10-09T00:00:00Z,2018-10-09,3
CAZ507,North Bay Mountains,6,EXP,,,2018-10-14,
CAZ507,North Bay Mountains,6,EXP,2018-10-14T07:00:00Z,2018-10-15T19:00:00Z,2018-10-15,2
CAZ507,North Bay Mountains,7,EXP,,,2018-10-30,
CAZ507,North Bay Mountains,7,EXP,2018-10-30T06:00:00Z,2018-10-31T18:00:00Z,2018-10-31,2
CAZ507,North Bay Mountains,8,EXP,,,2018-11-03,
CAZ507,North Bay Mountains,8,EXP,2018-11-03T08:00:00Z,2018-11-04T14:00:00Z,2018-11-04,2
CAZ507,North Bay Mountains,9,EXP,,,2018-11-08,
CAZ507,North Bay Mountains,9,EXP,2018-11-08T06:00:00Z,2018-11-09T15:00:00Z,2018-11-09,2
CAZ507,North Bay Mountains,10,EXP,,,2018-11-11,
CAZ507,North Bay Mountains,10,EXP,2018-11-11T06:00:00Z,2018-11-12T00:00:00Z,2018-11-12,2
CAZ507,North Bay Mountains,1,EXP,,,2017-07-16,
CAZ507,North Bay Mountains,1,EXP,2017-07-16T00:00:00Z,2017-07-17T04:00:00Z,2017-07-17,2
CAZ507,North Bay Mountains,2,EXP,,,2017-09-01,
CAZ507,North Bay Mountains,2,EXP,,,2017-09-02,
CAZ507,North Bay Mountains,2,EXP,2017-09-01T04:00:00Z,2017-09-03T04:00:00Z,2017-09-03,3
CAZ507,North Bay Mountains,3,CAN,,,2017-09-23,
CAZ507,North Bay Mountains,3,CAN,,,2017-09-24,
CAZ507,North Bay Mountains,3,CAN,,,2017-09-25,
CAZ507,North Bay Mountains,3,CAN,,,2017-09-26,
CAZ507,North Bay Mountains,3,CAN,2017-09-23T21:00:00Z,2017-09-27T16:46:00Z,2017-09-27,5
CAZ507,North Bay Mountains,4,CAN,,,2017-10-01,
CAZ507,North Bay Mountains,4,CAN,,,2017-10-02,
CAZ507,North Bay Mountains,4,CAN,2017-10-01T06:00:00Z,2017-10-03T21:35:00Z,2017-10-03,3
CAZ506,North Bay Interior Valleys,5,CON,,,2017-10-08,
CAZ506,North Bay Interior Valleys,5,CON,,,2017-10-09,
CAZ506,North Bay Interior Valleys,5,CON,2017-10-08T18:00:00Z,2017-10-10T12:00:00Z,2017-10-10,3
CAZ507,North Bay Mountains,6,CON,,,2017-10-08,
CAZ507,North Bay Mountains,6,CON,,,2017-10-09,
CAZ507,North Bay Mountains,6,CON,2017-10-08T18:00:00Z,2017-10-10T12:00:00Z,2017-10-10,3
CAZ507,North Bay Mountains,7,EXP,,,2017-10-12,
CAZ507,North Bay Mountains,7,EXP,2017-10-12T00:00:00Z,2017-10-13T00:00:00Z,2017-10-13,2
CAZ506,North Bay Interior Valleys,8,EXP,,,2017-10-14,
CAZ506,North Bay Interior Valleys,8,EXP,2017-10-14T06:00:00Z,2017-10-15T00:00:00Z,2017-10-15,2
CAZ507,North Bay Mountains,9,EXP,,,2017-10-14,
CAZ507,North Bay Mountains,9,EXP,2017-10-14T00:00:00Z,2017-10-15T15:00:00Z,2017-10-15,2
CAZ507,North Bay Mountains,10,EXP,,,2017-12-16,
CAZ507,North Bay Mountains,10,EXP,2017-12-16T06:00:00Z,2017-12-17T18:00:00Z,2017-12-17,2
CAZ507,North Bay Mountains,1,CAN,2016-06-11T12:00:00Z,2016-06-11T22:00:00Z,2016-06-11,1
CAZ507,North Bay Mountains,2,EXT,,,2016-09-25,
CAZ507,North Bay Mountains,2,EXT,2016-09-25T04:00:00Z,2016-09-26T01:00:00Z,2016-09-26,2
CAZ505,Coastal North Bay Including Point Reyes National Seashore,1,CAN,2015-08-07T00:00:00Z,2015-08-07T12:03:00Z,2015-08-07,1
CAZ506,North Bay Interior Valleys,2,CAN,2015-08-07T00:00:00Z,2015-08-07T12:03:00Z,2015-08-07,1
CAZ507,North Bay Mountains,3,CAN,2015-08-07T00:00:00Z,2015-08-07T12:03:00Z,2015-08-07,1
CAZ507,North Bay Mountains,4,CAN,2015-10-04T01:00:00Z,2015-10-04T14:13:00Z,2015-10-04,1
CAZ507,North Bay Mountains,1,EXP,,,2014-01-14,
CAZ507,North Bay Mountains,1,EXP,,,2014-01-15,
CAZ507,North Bay Mountains,1,EXP,2014-01-14T06:00:00Z,2014-01-16T16:00:00Z,2014-01-16,3
CAZ507,North Bay Mountains,2,EXP,,,2014-01-23,
CAZ507,North Bay Mountains,2,EXP,2014-01-23T06:00:00Z,2014-01-24T21:00:00Z,2014-01-24,2
CAZ506,North Bay Interior Valleys,3,CAN,2014-08-12T04:00:00Z,2014-08-12T10:00:00Z,2014-08-12,1
CAZ507,North Bay Mountains,4,CAN,2014-08-12T04:00:00Z,2014-08-12T10:00:00Z,2014-08-12,1
CAZ507,North Bay Mountains,5,EXP,,,2014-10-12,
CAZ507,North Bay Mountains,5,EXP,2014-10-12T06:00:00Z,2014-10-13T18:00:00Z,2014-10-13,2
CAZ507,North Bay Mountains,1,CAN,,,2013-05-01,
CAZ507,North Bay Mountains,1,CAN,2013-05-01T01:00:00Z,2013-05-02T10:48:00Z,2013-05-02,2
CAZ507,North Bay Mountains,2,EXP,2013-05-04T07:00:00Z,2013-05-04T22:00:00Z,2013-05-04,1
CAZ506,North Bay Interior Valleys,3,CAN,,,2013-08-19,
CAZ506,North Bay Interior Valleys,3,CAN,,,2013-08-20,
CAZ506,North Bay Interior Valleys,3,CAN,2013-08-19T07:00:00Z,2013-08-21T20:47:00Z,2013-08-21,3
CAZ507,North Bay Mountains,4,CAN,,,2013-08-19,
CAZ507,North Bay Mountains,4,CAN,,,2013-08-20,
CAZ507,North Bay Mountains,4,CAN,2013-08-19T07:00:00Z,2013-08-21T20:47:00Z,2013-08-21,3
CAZ507,North Bay Mountains,5,EXP,,,2013-09-26,
CAZ507,North Bay Mountains,5,EXP,2013-09-26T06:00:00Z,2013-09-27T22:00:00Z,2013-09-27,2
CAZ507,North Bay Mountains,6,CAN,,,2013-10-04,
CAZ507,North Bay Mountains,6,CAN,2013-10-04T01:00:00Z,2013-10-05T10:07:00Z,2013-10-05,2
CAZ506,North Bay Interior Valleys,7,CAN,2013-11-23T03:12:00Z,2013-11-23T21:57:00Z,2013-11-23,1
CAZ507,North Bay Mountains,8,CAN,2013-11-23T03:12:00Z,2013-11-23T21:57:00Z,2013-11-23,1
CAZ507,North Bay Mountains,9,EXP,,,2013-12-28,
CAZ507,North Bay Mountains,9,EXP,2013-12-28T23:00:00Z,2013-12-29T18:00:00Z,2013-12-29,2
CAZ507,North Bay Mountains,1,CAN,,,2012-06-10,
CAZ507,North Bay Mountains,1,CAN,2012-06-10T00:00:00Z,2012-06-11T15:01:00Z,2012-06-11,2
CAZ507,North Bay Mountains,2,EXP,2012-06-16T03:00:00Z,2012-06-16T16:00:00Z,2012-06-16,1
CAZ506,North Bay Interior Valleys,3,CAN,2012-09-06T00:00:00Z,2012-09-06T09:58:00Z,2012-09-06,1
CAZ507,North Bay Mountains,4,CAN,2012-09-06T00:00:00Z,2012-09-06T09:58:00Z,2012-09-06,1
CAZ507,North Bay Mountains,5,EXP,2012-10-18T01:00:00Z,2012-10-18T15:00:00Z,2012-10-18,1
CAZ507,North Bay Mountains,1,EXP,,,2011-09-09,
CAZ507,North Bay Mountains,1,EXP,2011-09-09T19:02:00Z,2011-09-10T18:00:00Z,2011-09-10,2
CAZ507,North Bay Mountains,2,EXP,,,2011-10-26,
CAZ507,North Bay Mountains,2,EXP,2011-10-26T01:00:00Z,2011-10-27T13:00:00Z,2011-10-27,2
CAZ507,North Bay Mountains,3,EXP,,,2011-11-01,
CAZ507,North Bay Mountains,3,EXP,2011-11-01T13:00:00Z,2011-11-02T16:00:00Z,2011-11-02,2
CAZ507,North Bay Mountains,1,EXP,,,2010-10-12,
CAZ507,North Bay Mountains,1,EXP,2010-10-12T01:00:00Z,2010-10-13T13:00:00Z,2010-10-13,2
CAZ505,Coastal North Bay Including Point Reyes National Seashore,1,CAN,2009-09-12T05:00:00Z,2009-09-12T22:06:00Z,2009-09-12,1
CAZ506,North Bay Interior Valleys,2,CAN,2009-09-12T05:00:00Z,2009-09-12T22:06:00Z,2009-09-12,1
CAZ507,North Bay Mountains,3,CAN,2009-09-12T05:00:00Z,2009-09-12T22:06:00Z,2009-09-12,1
CAZ507,North Bay Mountains,4,EXP,,,2009-09-21,
CAZ507,North Bay Mountains,4,EXP,,,2009-09-22,
CAZ507,North Bay Mountains,4,EXP,2009-09-21T01:00:00Z,2009-09-23T01:00:00Z,2009-09-23,3
CAZ507,North Bay Mountains,5,EXP,,,2009-10-01,
CAZ507,North Bay Mountains,5,EXP,2009-10-01T01:00:00Z,2009-10-02T01:00:00Z,2009-10-02,2
CAZ507,North Bay Mountains,1,EXP,,,2008-06-11,
CAZ507,North Bay Mountains,1,EXP,,,2008-06-12,
CAZ507,North Bay Mountains,1,EXP,2008-06-11T04:00:00Z,2008-06-13T23:00:00Z,2008-06-13,3
CAZ507,North Bay Mountains,2,CAN,2008-06-30T13:00:00Z,2008-06-30T15:33:00Z,2008-06-30,1
CAZ507,North Bay Mountains,3,EXP,,,2008-07-09,
CAZ507,North Bay Mountains,3,EXP,,,2008-07-10,
CAZ507,North Bay Mountains,3,EXP,2008-07-09T03:00:00Z,2008-07-11T12:00:00Z,2008-07-11,3
CAZ507,North Bay Mountains,4,EXP,,,2008-08-27,
CAZ507,North Bay Mountains,4,EXP,,,2008-08-28,
CAZ507,North Bay Mountains,4,EXP,,,2008-08-29,
CAZ507,North Bay Mountains,4,EXP,2008-08-27T12:00:00Z,2008-08-30T03:00:00Z,2008-08-30,4
CAZ507,North Bay Mountains,5,CAN,,,2008-09-01,
CAZ507,North Bay Mountains,5,CAN,,,2008-09-02,
CAZ507,North Bay Mountains,5,CAN,2008-09-01T06:00:00Z,2008-09-03T15:28:00Z,2008-09-03,3
CAZ505,Coastal North Bay Including Point Reyes National Seashore,6,EXP,,,2008-10-10,
CAZ505,Coastal North Bay Including Point Reyes National Seashore,6,EXP,,,2008-10-11,
CAZ505,Coastal North Bay Including Point Reyes National Seashore,6,EXP,2008-10-10T01:00:00Z,2008-10-12T01:00:00Z,2008-10-12,3
CAZ506,North Bay Interior Valleys,7,EXP,,,2008-10-10,
CAZ506,North Bay Interior Valleys,7,EXP,,,2008-10-11,
CAZ506,North Bay Interior Valleys,7,EXP,2008-10-10T01:00:00Z,2008-10-12T01:00:00Z,2008-10-12,3
CAZ507,North Bay Mountains,8,CAN,,,2008-10-10,
CAZ507,North Bay Mountains,8,CAN,,,2008-10-11,
CAZ507,North Bay Mountains,8,CAN,,,2008-10-12,
CAZ507,North Bay Mountains,8,CAN,,,2008-10-13,
CAZ507,North Bay Mountains,8,CAN,2008-10-10T01:00:00Z,2008-10-14T10:32:00Z,2008-10-14,5
CAZ205,Unknown CAZ205,1,EXP,,,2007-07-10,
CAZ205,Unknown CAZ205,1,EXP,2007-07-10T16:37:00Z,2007-07-11T07:00:00Z,2007-07-11,2
CAZ205,Unknown CAZ205,1,CAN,,,2006-09-22,
CAZ205,Unknown CAZ205,1,CAN,2006-09-22T07:00:00Z,2006-09-23T22:02:00Z,2006-09-23,2
CAZ205,Unknown CAZ205,2,EXP,2006-10-10T03:00:00Z,2006-10-10T18:00:00Z,2006-10-10,1
CAZ205,Unknown CAZ205,3,EXP,,,2006-10-20,
CAZ205,Unknown CAZ205,3,EXP,2006-10-20T21:00:00Z,2006-10-21T19:00:00Z,2006-10-21,2
CAZ205,Unknown CAZ205,4,EXP,,,2006-10-25,
CAZ205,Unknown CAZ205,4,EXP,,,2006-10-26,
CAZ205,Unknown CAZ205,4,EXP,2006-10-25T07:00:00Z,2006-10-27T01:00:00Z,2006-10-27,3
